 fecha,evangelio,mensaje,tiempo_liturgico
2026-04-16,"El que viene de arriba está por encima de todos. (Jn 3,31)",Hay perspectivas humanas y hay perspectiva divina. No son lo mismo.¿Cuántas decisiones tomas desde la perspectiva de lo que todos piensan en lugar de lo que Dios ve?Consulta hoy con Dios antes de consultar con la galería.,Tiempo Pascual II
2026-04-17,"¿Qué es eso para tanta gente? (Jn 6,9)",Lo que parece insuficiente en manos de Dios se convierte en desbordante.¿Te estás paralizando porque crees que lo que tienes no es suficiente?Ofrece hoy lo que tienes aunque sea poco. Y confía en el resto.,Tiempo Pascual II
2026-04-18,"Soy yo. No teman. (Jn 6,20)",En la oscuridad y en la tormenta Jesús viene caminando hacia ti.¿Cuál es tu tormenta más reciente? ¿Lo has invitado a ella?Permítele entrar hoy a la barca de tu situación más agitada.,Tiempo Pascual II
2026-04-19,"¿Me amas? (Jn 21,17)",Tres veces pregunta. No para herirlo. Para restaurarlo completamente.¿Cuántas negaciones tuyas necesitan ser sanadas por tres afirmaciones de amor?Responde hoy con sinceridad a esa pregunta: ¿lo amas?,III Domingo de Pascua
2026-04-20,"Trabajen no por el alimento que perece, sino por el que permanece. (Jn 6,27)",El problema no es trabajar. Es trabajar para lo que no dura.¿Qué porcentaje de tu energía va a cosas eternas frente a cosas temporales?Invierte hoy algo de tiempo en algo que dure más allá de esta semana.,Tiempo Pascual III
2026-04-21,"Yo soy el pan de vida. (Jn 6,35)",El hambre más profunda del ser humano no se sacia en ningún supermercado.¿Qué estás usando para tapar un hambre que solo él puede llenar?Identifica hoy ese sustituto y llévalo ante él con honestidad.,Tiempo Pascual III
2026-04-22,"Todo el que cree en el Hijo tiene vida eterna. (Jn 6,40)",La vida eterna no empieza cuando mueres. Empieza cuando crees.¿Estás viviendo ya en esa vida o la tienes solo como promesa futura?Vive hoy desde la eternidad que ya posees.,Tiempo Pascual III
2026-04-23,"Yo soy el pan vivo bajado del cielo. (Jn 6,51)",Hay cosas que solo se reciben. No se fabrican¿Qué estás fabricando en tu vida que deberías estar recibiendo? no se compran.Abre las manos hoy. Deja de fabricar lo que ya fue dado.,Tiempo Pascual III
2026-04-24,"El que come mi carne y bebe mi sangre tiene vida eterna. (Jn 6,54)",La Eucaristía no es un símbolo. Es encuentro real con el que da vida.¿Cuándo fue la última vez que participaste en la Eucaristía consciente de lo que recibías?Ve a Misa pronto con la disposición de quien va a encontrarse no de quien va a cumplir.,Tiempo Pascual III
2026-04-25,"¿También ustedes quieren irse? (Jn 6,67)",Jesús no ruega que se queden. Pregunta. Y espera una respuesta libre.¿Sigues con él porque quieres o solo porque es lo que conoces?Elige hoy quedarte. Conscientemente. Con las palabras de Pedro: '¿A quién iríamos?',Tiempo Pascual III
2026-04-26,"Mis ovejas escuchan mi voz y yo las conozco. (Jn 10,27)",Él no te conoce como dato. Te conoce como persona con tu historia completa.¿Reconoces su voz cuando habla o solo cuando habla como tú quieres?Entrena hoy tu oído espiritual. Silencio. Atención. Escucha.,IV Domingo de Pascua
2026-04-27,"Yo vine para que tengan vida y la tengan en abundancia. (Jn 10,10)",Vida abundante no es vida sin sufrimiento. Es vida plena con sentido.¿Estás viviendo en abundancia de sentido o solo acumulando días?Pregunta hoy qué le da sentido a tu existencia y actúa desde ahí.,Tiempo Pascual IV
2026-04-28,"Las obras que hago en nombre de mi Padre dan testimonio de mí. (Jn 10,25)",Las acciones son el argumento más poderoso de la fe.¿Qué dicen tus acciones sobre lo que crees?Actúa hoy de una manera que sea testimonio de fe sin necesidad de palabras.,Tiempo Pascual IV
2026-04-29,"Yo no vine a juzgar al mundo sino a salvarlo. (Jn 12,47)",El que vino a salvar no vino a condenar. Deberías hacer lo mismo.¿Cuánto tiempo dedicas a juzgar lo que Dios dedica a salvar?Mira hoy a alguien con los ojos de la salvación no del juicio.,Tiempo Pascual IV
2026-04-30,"El siervo no es más que su señor. (Jn 13,16)",Si el Maestro sufrió rechazo sus seguidores también lo sufrirán.¿Estás molesto con Dios porque la vida de fe no es cómoda?Acepta hoy el costo del discipulado sin resentimiento.,Tiempo Pascual IV
2026-05-01,"No se turbe su corazón. Crean en Dios y crean también en mí. (Jn 14,1)",La turbación del corazón se cura con confianza no con certeza.¿Estás esperando que todas las dudas desaparezcan para dejar de estar turbado?Confía hoy con el corazón aunque la mente siga haciendo preguntas.,Tiempo Pascual IV - San José Obrero
2026-05-02,"7-14""|""El que me ha visto a mí, ha visto al Padre. (Jn 14",Si quieres saber cómo es Dios mira a Jesús. Solo eso.¿Tu imagen de Dios se parece a Jesús o a tus miedos proyectados?Lee hoy un milagro o conversación de Jesús y ajusta tu imagen de Dios a ella.,Tiempo Pascual IV
2026-05-03,"Ámense unos a otros como yo los he amado. (Jn 13,34)",El mandato nuevo no es genérico. Tiene una medida: como él amó.¿Estás amando con ese estándar o con el estándar de lo que te conviene?Ama hoy a alguien con la medida del Evangelio no con la tuya.,V Domingo de Pascua
2026-05-04,"El Espíritu Santo les enseñará todas las cosas. (Jn 14,26)",Tienes un maestro interno. ¿Lo consultas o actúas solo?¿Cuántas decisiones tomas sin detenerte a escuchar al Espíritu?Pausa hoy antes de una decisión y pregunta al Espíritu. En serio.,Tiempo Pascual V
2026-05-05,"Mi paz les doy. No como la da el mundo. (Jn 14,27)",La paz del mundo depende de las circunstancias. La de Dios no.¿Tu paz depende de que todo esté bien o viene de algo más profundo?Practica hoy la paz que no depende de las noticias ni del estado de tu cuenta bancaria.,Tiempo Pascual V
2026-05-06,"El que permanece en mí y yo en él, ese da mucho fruto. (Jn 15,5)",El fruto no viene del esfuerzo. Viene de la permanencia.¿Estás esforzándote por dar fruto sin estar conectado a la vid?Permanece hoy en oración antes de actuar. La conexión primero.,Tiempo Pascual V
2026-05-07,"Permanezcan en mi amor. (Jn 15,9)",El amor de Dios no es un destino al que llegar. Es una morada en la que vivir.¿Vives dentro del amor de Dios o solo lo visitas de vez en cuando?Habita hoy conscientemente en ese amor. Toma cada decisión desde adentro de él.,Tiempo Pascual V
2026-05-08,"No son ustedes los que me eligieron a mí, sino yo qui los elegí. (Jn 15,16)",Ser elegido no es un privilegio para enorgullecerse. Es una responsabilidad para fructificar.¿Usas tu fe como distinción o como servicio?Fructifica hoy en algo concreto para alguien que no puede darte nada a cambio.,Tiempo Pascual V
2026-05-09,"Si el mundo los odia, sepan que a mí me odió primero. (Jn 15,18)",El rechazo por vivir bien no es fracaso. Es señal de que vas en la dirección correcta.¿Estás moldeando tu vida para que el mundo no te rechace a costa de perder autenticidad?Elige hoy ser auténtico aunque incomode. Vale más que ser aprobado.,Tiempo Pascual V
2026-05-10,"El Padre y yo vendremos a él y haremos morada en él. (Jn 14,23)",La Trinidad no habita en los templos. Habita en quien obedece por amor.¿Es tu vida un lugar donde Dios quiere quedarse?Prepara hoy tu interior como quien prepara su casa para un huésped importante.,VI Domingo de Pascua
2026-05-11,"Cuando venga el Paráclito él dará testimonio de mí. (Jn 15,26)",El Espíritu testifica. Tú también puedes.¿Tu vida es testimonio de que Jesús está vivo o es más bien un argumento en contra?Sé hoy un testimonio vivo con una acción que solo se explica desde la fe.,Tiempo Pascual VI
2026-05-12,"Les conviene que yo me vaya. (Jn 16,7)",A veces la partida de lo conocido es la condición para recibir algo mejor.¿Qué estás aferrando que impide que el Espíritu trabaje con libertad?Suelta hoy una seguridad que se ha convertido en obstáculo.,Tiempo Pascual VI
2026-05-13,"Él los irá introduciendo en la verdad completa. (Jn 16,13)",La verdad completa no se recibe de golpe. Se va revelando en el camino.¿Tienes la paciencia para crecer en la verdad paso a paso sin atajos?Confía hoy en el proceso de revelación gradual. No pretendas saberlo todo ya.,Tiempo Pascual VI
2026-05-14,"Ustedes son testigos de esto. (Lc 24,48)",Testigo no es alguien que opina. Es alguien que vio que vivió que sabe.¿De qué puedes dar testimonio personal porque lo has vivido con Dios?Comparte hoy una experiencia personal de fe con alguien. No una doctrina. Una experiencia.,Ascensión del Señor
2026-05-15,"Su tristeza se convertirá en alegría. (Jn 16,20)",Toda tristeza de fe tiene fecha de expiración. La alegría es la última palabra.¿Estás en el tiempo de la tristeza y no ves la alegría que viene?Sostén hoy la esperanza. No como negación del dolor sino como certeza del amanecer.,Tiempo Pascual VI
2026-05-16,"Pidan y recibirán para que su alegría sea perfecta. (Jn 16,24)",Dios quiere que tu alegría sea completa. No parcial no a medias.¿Te has acostumbrado a una fe de media alegría?Pide hoy por alegría completa. Y espérala.,Tiempo Pascual VI
2026-05-17,"Para que todos sean uno como tú y yo somos uno. (Jn 17,21)",La unidad de los creyentes es la prueba más visible de que Dios existe.¿Estás construyendo unidad o alimentando divisiones en el nombre de la verdad?Construye hoy un puente donde haya fractura.,VII Domingo de Pascua
2026-05-18,"En el mundo tendrán tribulaciones, pero ánimo: yo he vencido al mundo. (Jn 16,33)",No prometió ausencia de tormenta. Prometió victoria sobre ella.¿Estás midiendo tu fe por la cantidad de problemas que tienes?Recuerda hoy que el que ya venció está de tu lado.,Tiempo Pascual VII
2026-05-19,"Te he glorificado en la tierra terminando la obra que me encomendaste. (Jn 17,4)",La gloria de Dios no está en los discursos. Está en la obra terminada.¿Cuántas obras empezadas tienes sin terminar porque perdiste la motivación?Retoma hoy algo que dejaste a medias y dale un paso de avance.,Tiempo Pascual VII
2026-05-20,"No son del mundo, como tampoco yo soy del mundo. (Jn 17,16)",Estar en el mundo sin ser del mundo no es aislamiento. Es misión con criterio propio.¿En qué áreas de tu vida el mundo te está moldeando más que el Evangelio?Elige hoy un criterio evangélico sobre uno mundano en algo concreto.,Tiempo Pascual VII
2026-05-21,"Que el amor con que me amaste esté en ellos. (Jn 17,26)",Jesús rezó para que el amor del Padre habitara en ti. Ya rezó.¿Estás viviendo desde ese amor o desde el miedo?Toma hoy una decisión motivada por amor no por miedo.,Tiempo Pascual VII
2026-05-22,"Apacienta mis ovejas. (Jn 21,17)",El encargo de Jesús viene después del perdón. El servicio nace de la restauración.¿Has recibido el perdón de Dios y lo has convertido en servicio o lo guardas para ti?Cuida hoy a alguien de tu entorno como acto de amor agradecido.,Tiempo Pascual VII
2026-05-23,"¿A ti qué te importa? Tú, sígueme. (Jn 21,22)",La distracción más común en la fe es comparar tu camino con el de otro.¿Cuánto tiempo gastas mirando lo que Dios hace con otros en lugar de seguirlo tú?Enfoca hoy tu camino. El tuyo. No el de los demás.,Tiempo Pascual VII
2026-05-24,"Como el Padre me envió, también yo los envío. (Jn 20,21)",El Espíritu no viene para que disfrutes. Viene para que vayas.¿Estás reteniendo la misión o estás yendo?Identifica hoy a dónde te está enviando el Espíritu y da un paso concreto.,Pentecostés
2026-05-25,"¿Qué hago para heredar la vida eterna? (Mc 10,17)",La pregunta correcta ya es un comienzo.¿Estás haciendo las preguntas que llevan a la vida o las que te mantienen cómodo?Formula hoy una pregunta honesta sobre tu vida espiritual y busca respuesta.,Tiempo Ordinario VIII
2026-05-26,"Muchos primeros serán últimos y los últimos, primeros. (Mc 10,31)",Los criterios del reino invierten los del mundo. Siempre.¿Estás usando criterios mundanos para medir tu valía espiritual?Valórate hoy con la medida del Evangelio no la del éxito social.,Tiempo Ordinario VIII
2026-05-27,"El que quiera ser primero entre ustedes, que sea esclavo de todos. (Mc 10,44)",El liderazgo cristiano es servicio radical no gestión de poder.¿Usas tu posición para servir o para ser servido?Ejerce hoy una forma de liderazgo desde abajo.,Tiempo Ordinario VIII
2026-05-28,"¡Maestro, que pueda ver! (Mc 10,51)",Saber lo que necesitas y pedirlo con claridad ya es un acto de fe.¿Eres específico con Dios o le haces peticiones vagas?Pide hoy algo concreto con nombre y apellido.,Tiempo Ordinario VIII
2026-05-29,"La fe que mueve montañas no duda. (Mc 11,23)",La duda no es ausencia de fe. Pero la certeza activa moverá lo que la duda paraliza.¿Cuánta de tu oración es petición y cuánta es desconfianza disfrazada?Ora hoy desde la certeza de que Dios escucha aunque no veas el resultado.,Tiempo Ordinario VIII
2026-05-30,"¿Con qué autoridad haces esto? (Mc 11,28)",La autoridad real no necesita ser aprobada por quien está en el poder.¿De dónde viene tu autoridad para hablar y actuar en el nombre de Cristo?Actúa hoy desde la autoridad de quien está enviado no de quien busca permiso.,Tiempo Ordinario VIII
2026-05-31,"Él los irá introduciendo en la verdad completa. (Jn 16,13)",La Santísima Trinidad no es un dogma para memorizar. Es una relación en la que entramos.¿Es la Trinidad una fórmula para ti o una experiencia de amor?Dirige hoy una oración al Padre al Hijo y al Espíritu conscientemente.,Santísima Trinidad
2026-06-01,"El señor de la viña enviará a su hijo amado. (Mc 12,6)",Dios apostó todo en su Hijo. Ese es el tamaño de su amor.¿Correspondes a ese amor con la misma intensidad o con restos?Ofrece hoy algo que realmente cueste no lo que te sobra.,Tiempo Ordinario IX
2026-06-02,"Den al César lo que es del César y a Dios lo que es de Dios. (Mc 12,17)",La distinción no es separación. Todo tiene su lugar pero nada reemplaza a Dios.¿Cuánto de lo que le debes a Dios lo estás dando al César?Revisa hoy tus prioridades reales no las declaradas.,Tiempo Ordinario IX
2026-06-03,"Dios no es Dios de muertos sino de vivos. (Mc 12,27)","La resurrección no es una compensación futura. Es la lógica de un Dios que siempre da vida.¿Vives con la certeza de la resurrección o con el miedo de que todo termine?Toma hoy una decisión con horizonte eterno no solo inmediato.""",Tiempo Ordinario IX
2026-06-04,"No estás lejos del reino de Dios. (Mc 12,34)",A veces la puerta está más cerca de lo que crees. El problema es que buscas lejos.¿Estás buscando a Dios en lo extraordinario mientras lo tienes en lo ordinario?Encuéntralo hoy en lo más pequeño de tu día.,Tiempo Ordinario IX
2026-06-05,"El Señor dijo a mi Señor: siéntate a mi derecha. (Mc 12,36)",Jesús es señor sobre todo. No solo en el templo. En todo.¿Hay áreas de tu vida donde Jesús no es señor todavía?Dale hoy el trono en una área que guardabas solo para ti.,Tiempo Ordinario IX
2026-06-06,"Esta viuda pobre echó más que todos. (Mc 12,43)",Dios no mide lo que das. Mide lo que te queda después de dar.¿Das de lo que te sobra o te arriesgas a dar de lo que necesitas?Da hoy algo que te cueste un poco. Solo un poco más de lo cómodo.,Tiempo Ordinario IX
2026-06-07,"Él tomó los cinco panes y los dos peces, bendijo y partió. (Lc 9,16)",Jesús toma bendice parte y entrega. Eso también es lo que hace con tu vida.¿Estás disponible para ser tomado bendecido partido y entregado?Ofrécete hoy sin condiciones para lo que Dios quiera hacer contigo.,Corpus Christi
2026-06-08,"Bienaventurados los que tienen hambre y sed de justicia. (Mt 5,6)",Tener hambre de justicia no es quejarse del mundo. Es actuar para cambiarlo.¿Tu indignación ante la injusticia se convierte en acción o solo en comentarios?Actúa hoy en algo concreto por la justicia en tu entorno inmediato.,Tiempo Ordinario X
2026-06-09,"Ustedes son la sal de la tierra. (Mt 5,13)",La sal que ya no sala no sirve. La fe que no transforma tampoco.¿Qué está transformando tu fe en el mundo que te rodea?Sé hoy agente de cambio en algo específico de tu entorno.,Tiempo Ordinario X
2026-06-10,"El que los practique y enseñe será grande en el reino. (Mt 5,19)",No basta con saber. Hay que practicar. Y hay que enseñar con el ejemplo.¿Lo que enseñas con palabras lo viven quienes te observan?Sé hoy coherente entre lo que dices y lo que haces.,Tiempo Ordinario X
2026-06-11,"Si tu hermano tiene algo contra ti, ve a reconciliarte. (Mt 5,24)",La liturgia puede esperar. La reconciliación no.¿Hay alguien que tiene algo contra ti y has dejado la situación sin resolver?Busca hoy esa reconciliación. Primero ve a tu hermano después al altar.,Tiempo Ordinario X
2026-06-12,"Hay más alegría en el cielo por un pecador que se convierte. (Lc 15,7)",El corazón de Dios late más fuerte por el que regresa que por el que nunca se fue.¿Hay alguien 'perdido' en tu vida por quien estás orando o ya lo diste por perdido?Ora hoy con alegría anticipada por el regreso de alguien que todavía no volvió.,Sagrado Corazón de Jesús
2026-06-13,"¿No sabían que debo estar en las cosas de mi Padre? (Lc 2,49)",La identidad de Jesús era clara desde niño. ¿La tuya?¿Sabes claramente quién eres y para qué fuiste llamado?Define hoy en una frase tu identidad más profunda.,Inmaculado Corazón de María
2026-06-14,"Sus muchos pecados le son perdonados porque amó mucho. (Lc 7,47)",El amor no da derecho al perdón. Pero el perdonado mucho ama mucho.¿Cuánto has sido perdonado y cuánto amas como respuesta?Deja que el perdón recibido se convierta hoy en amor desbordante hacia alguien.,XI Domingo del Tiempo Ordinario
2026-06-15,"Al que te golpee en la mejilla derecha, ofrécele la otra. (Mt 5,39)",No es pasividad. Es superioridad moral que rompe el ciclo de la violencia.¿Cuándo fue la última vez que rompiste un ciclo de revancha con un gesto de gracia?Elige hoy no devolver el golpe. No porque no puedas sino porque no quieres.,Tiempo Ordinario XI
2026-06-16,"Amen a sus enemigos. (Mt 5,44)",Amar al enemigo no es un consejo para valientes. Es el estándar del Evangelio.¿Tienes enemigos a quienes solo aguantas o a quienes genuinamente deseas el bien?Desea hoy el bien de alguien que te ha causado daño. Aunque sea solo en silencio.,Tiempo Ordinario XI
2026-06-17,"Tu Padre que ve en lo oculto te recompensará. (Mt 6,4)",La audiencia que importa no te aplaude desde las redes. Ve en secreto.¿Cuánto de tu vida espiritual necesita ser visto para tener valor para ti?Haz hoy algo bueno que solo Dios verá. Y descansa en eso.,Tiempo Ordinario XI
2026-06-18,"Tu Padre sabe lo que necesitas antes de que se lo pidas. (Mt 6,8)",Si ya sabe ¿por qué pedir? Porque la oración te transforma a ti no a él.¿Oras para cambiar a Dios o para dejarte cambiar tú?Ora hoy con la actitud de quien se abre a ser transformado.,Tiempo Ordinario XI
2026-06-19,"Donde esté tu tesoro, allí estará también tu corazón. (Mt 6,21)",Lo que más cuidas revela lo que más quieres.¿Qué dice sobre ti lo que proteges lo que ahorras lo que inviertes?Examina hoy dónde está tu tesoro real y si coincide con lo que dices creer.,Tiempo Ordinario XI
2026-06-20,"No pueden servir a Dios y al dinero. (Mt 6,24)",No dice que el dinero sea malo. Dice que no puede ser señor.¿Cuántas de tus decisiones las dicta el dinero antes que tus valores?Toma hoy una decisión donde el dinero no sea el criterio principal.,Tiempo Ordinario XI
2026-06-21,"El que pierda su vida por mí, ese la salvará. (Lc 9,24)",La paradoja cristiana: perder para ganar. Morir para vivir.¿Qué estás aferrando que quizás necesitas soltar para vivir de verdad?Suelta hoy algo que te aferras por miedo a perder.,XII Domingo del Tiempo Ordinario
2026-06-22,"¿Por qué ves la paja en el ojo de tu hermano y no la viga en el tuyo? (Mt 7,3)",La crítica siempre es más fácil que el autoexamen.¿Cuánto tiempo al día dedicas a ver los fallos ajenos vs. los propios?Dedica hoy 10 minutos al autoexamen honesto antes de criticar a alguien.,Tiempo Ordinario XII
2026-06-23,"Entren por la puerta estrecha. (Mt 7,13)",El camino ancho es cómodo. El estrecho es el que lleva a donde quieres llegar de verdad.¿Estás tomando el camino fácil o el camino real?Elige hoy lo difícil pero lo correcto.,Tiempo Ordinario XII
2026-06-24,"¿Qué será este niño? (Lc 1,66)",Dios elige a los inesperados para las misiones más grandes.¿Cuántas veces has dicho que no estás preparado para lo que Dios te pide?Acepta hoy que Dios ya te preparó aunque no lo sientas.,Natividad de San Juan Bautista
2026-06-25,"Si quieres, puedes limpiarme. (Mt 8,2)",Si quieres. No 'si puedes'. El leproso ya sabía que podía. Preguntó si quería.¿Tu fe duda más de la voluntad de Dios que de su poder?Reza hoy afirmando que Dios quiere tu bien no solo que puede dártelo.,Tiempo Ordinario XII
2026-06-26,"Ve, hágase como creíste. (Mt 8,13)",La sanación llegó en proporción directa a la fe declarada.¿Estás creyendo a la altura de lo que pides?Ajusta hoy tu fe al tamaño de lo que necesitas no al tamaño de lo que crees posible.,Tiempo Ordinario XII
2026-06-27,"El vino nuevo se echa en odres nuevos. (Mt 9,17)",Lo nuevo de Dios no cabe en estructuras viejas de vida.¿Qué estructura vieja en tu vida está impidiendo que lo nuevo de Dios quepa?Renueva hoy una actitud o hábito que ha caducado.,Tiempo Ordinario XII
2026-06-28,"El que pone la mano en el arado y mira hacia atrás no es apto para el reino. (Lc 9,62)",Seguir a Jesús exige dirección. No se puede ir hacia adelante mirando atrás.¿Hay algo del pasado que te impide avanzar en tu camino de fe?Suelta hoy un pasado que te ancla y fija la mirada adelante.,XIII Domingo del Tiempo Ordinario
2026-06-29,"Tú eres Pedro y sobre esta piedra edificaré mi Iglesia. (Mt 16,18)",La Iglesia no se edifica sobre la perfección. Se edifica sobre la confesión de fe.¿Cuál es tu confesión personal de fe hoy? ¿La has dicho en voz alta?Declara hoy quién es Jesús para ti. Con tus propias palabras.,Santos Pedro y Pablo Apóstoles
2026-06-30,"¿Por qué tienen miedo, hombres de poca fe? (Mt 8,26)",Jesús estaba en la barca y aun así tenían miedo. El problema no era la tormenta.¿Estás mirando la tormenta o al que está contigo en ella?Cambia hoy el foco: de la tormenta a su presencia.,Tiempo Ordinario XIII
2026-07-01,"Le rogaron que se fuera de su territorio. (Mt 8,34)",Cuando Jesús cura algo que afecta el negocio lo echan.¿Hay áreas de tu vida donde le dices a Jesús: hasta aquí no entres más?Abre hoy una área que tenías cerrada para él.,Tiempo Ordinario XIII
2026-07-02,"Ánimo, hijo tus pecados te son perdonados. (Mt 9,2)",Jesús atendió primero el alma. El cuerpo vino después. Esa es la escala de prioridades.¿Cuidas más tu cuerpo que tu alma?Invierte hoy tanto tiempo en tu salud espiritual como en la física.,Tiempo Ordinario XIII
2026-07-03,"Señor mío y Dios mío. (Jn 20,28)",De la duda más radical a la confesión más profunda. Tomás llega más lejos que nadie.¿Permites que tus dudas te lleven a preguntas más profundas o las suprimes?Lleva hoy tu duda más grande directamente a Jesús. Sin rodeos.,Santo Tomás Apóstol
2026-07-04,"¿Por qué los discípulos no ayunan? (Mt 9,14)",Las prácticas espirituales no son fines en sí mismas. Sirven a la relación.¿Tus prácticas espirituales te acercan a Dios o son rutina que ya no te cambia?Revisa hoy una práctica espiritual y renueva su intención.,Tiempo Ordinario XIII
2026-07-05,"Los demonios se nos someten en tu nombre. (Lc 10,17)",La misión da autoridad que tú solo nunca tendrías.¿Estás actuando en el nombre de Jesús o en el tuyo propio?Actúa hoy conscientemente en su nombre en algo que hagas.,XIV Domingo del Tiempo Ordinario
2026-07-06,"No lloren; la niña no está muerta, está dormida. (Mt 9,24)",Lo que el mundo llama muerte Jesús lo llama sueño. Su perspectiva cambia todo.¿Cuántas situaciones has declarado muertas que para Dios siguen siendo posibilidades?Rescata hoy una esperanza que declaraste muerta prematuramente.,Tiempo Ordinario XIV
2026-07-07,"La mies es mucha y los obreros son pocos. (Mt 9,37)",El problema de la Iglesia no es falta de recursos. Es falta de obreros comprometidos.¿Eres un consumidor de fe o un obrero en la mies?Comprométete hoy con una forma concreta de misión aunque sea pequeña.,Tiempo Ordinario XIV
2026-07-08,"No vayan hacia los paganos; vayan a las ovejas perdidas de la casa de Israel. (Mt 10,5-6)",La misión empieza cerca no lejos. Tu vecino antes que el extranjero.¿A quién tienes cerca que está perdido y al que no prestas atención?Ocúpate hoy de alguien en tu entorno inmediato que necesita ser encontrado.,Tiempo Ordinario XIV
2026-07-09,"Si no los reciben, sacudan el polvo de sus pies. (Mt 10,14)",El rechazo no es el fracaso de la misión. Es parte esperada del camino.¿Has dejado de dar testimonio por miedo al rechazo?Comparte hoy algo de tu fe sin miedo a que no sea recibido.,Tiempo Ordinario XIV
2026-07-10,"Sean astutos como serpientes y sencillos como palomas. (Mt 10,16)",Ingenuidad no es virtud. La fe inteligente sabe en qué mundo actúa.¿Eres tan sencillo que eres ingenuo o tan astuto que perdiste la sencillez?Equilibra hoy lucidez y humildad en alguna situación que lo requiera.,Tiempo Ordinario XIV
2026-07-11,"No teman a los que matan el cuerpo. (Mt 10,28)",El miedo al hombre es una jaula. El temor a Dios es libertad.¿A quién temes más: a Dios o a la opinión humana?Actúa hoy desde el temor a Dios no desde el miedo a los hombres.,Tiempo Ordinario XIV
2026-07-12,"¿Quién fue el prójimo del que cayó en manos de los ladrones? (Lc 10,36)",El prójimo no se define por la proximidad geográfica. Se define por la acción compasiva.¿Hay alguien herido en tu camino que sigues esquivando?Detente hoy ante alguien que necesita ayuda aunque te cueste tiempo o comodidad.,XV Domingo del Tiempo Ordinario
2026-07-13,"No vine a traer paz sino espada. (Mt 10,34)",El Evangelio divide porque obliga a elegir. No porque quiera conflicto.¿Estás suavizando el Evangelio para que no incomode a nadie?Di hoy una verdad del Evangelio sin suavizar con respeto pero sin rodeos.,Tiempo Ordinario XV
2026-07-14,"¡Ay de ti, Corazín! ¡Ay de ti Betsaida! (Mt 11,21)",Ver los milagros y no convertirse es la forma más triste de desperdicio.¿Cuántos 'milagros' en tu historia personal has ignorado o minimizado?Haz un inventario hoy de lo que Dios ha hecho en tu vida que no has agradecido.,Tiempo Ordinario XV
2026-07-15,"Lo revelaste a los pequeños. (Mt 11,25)",Dios esconde la verdad a los sabios y la revela a los humildes. No es arbistrario: es consecuente.¿Cuánto de tu orgullo intelectual te impide recibir lo que solo se da a los pequeños?Hazte pequeño hoy. Pide entender algo que no entiendes.,Tiempo Ordinario XV
2026-07-16,"Mi yugo es llevadero y mi carga es ligera. (Mt 11,30)",Si tu fe es pesada quizás estás cargando algo que él no te pidió cargar.¿Qué cargas religiosas llevas que no vienen de Jesús sino de expectativas humanas?Suelta hoy una carga que te pusieron no él.,Tiempo Ordinario XV
2026-07-17,"Quiero misericordia y no sacrificio. (Mt 12,7)",El ritual sin amor ofende más que la ausencia de ritual.¿Estás tan ocupado con las prácticas religiosas que descuidas la misericordia concreta?Ejerce hoy misericordia antes que cualquier práctica religiosa.,Tiempo Ordinario XV
2026-07-18,"No levantará la voz ni la hará oír en las plazas. (Mt 12,19)",El poder de Dios no necesita publicidad. Opera en silencio y transforma.¿Cuánta de tu actividad espiritual necesita ser visible para ser válida para ti?Opera hoy en silencio. Sin anunciarlo.,Tiempo Ordinario XV
2026-07-19,"Marta, Marta te preocupas por muchas cosas. (Lc 10,41)",La distracción puede tener cara de virtud.¿Cuánta de tu actividad incluso religiosa te aleja de lo único necesario?Elige hoy la mejor parte: al menos un momento de presencia total con Dios.,XVI Domingo del Tiempo Ordinario
2026-07-20,"Aquí hay alguien más grande que Jonás. (Mt 12,41)",Siempre pedimos señales de lo que ya tenemos frente a nosotros.¿Qué señal estás buscando que ya tienes?Reconoce hoy la presencia de algo más grande que Jonás en tu propia historia.,Tiempo Ordinario XVI
2026-07-21,"El que hace la voluntad de mi Padre, ese es mi hermano. (Mt 12,50)",La familia espiritual no es de sangre. Es de fidelidad.¿Tus vínculos más fuertes están en la fe compartida o solo en la biología?Nutre hoy una relación de fe que sea más profunda que una de costumbre.,Tiempo Ordinario XVI
2026-07-22,"He visto al Señor. (Jn 20,18)",María Magdalena fue enviada a anunciar la Resurrección. El primer testigo fue una mujer.¿Quién en tu vida nunca esperarías que fuera portador de una buena noticia de Dios?Recibe hoy un mensaje de Dios de donde no lo esperas.,Santa María Magdalena
2026-07-23,"Bienaventurados sus ojos porque ven. (Mt 13,16)",Ver lo que otros no ven es el privilegio del discípulo. Y la responsabilidad también.¿Estás usando lo que ves o lo guardas solo para ti?Comparte hoy algo que has visto con los ojos de la fe.,Tiempo Ordinario XVI
2026-07-24,"La semilla en tierra buena es el que oye y entiende. (Mt 13,23)",Oír sin entender no produce fruto. La comprensión transforma.¿Escuchas la Palabra solo con los oídos o trabajas para entenderla?Medita hoy un pasaje del Evangelio hasta que algo en ti cambie.,Tiempo Ordinario XVI
2026-07-25,"El que quiera ser primero que sea esclavo. (Mt 20,27)",La ambición no está mal. Lo que está mal es hacia dónde apunta.¿Hacia dónde apunta tu ambición hoy?Redirige hoy una ambición personal hacia el servicio de los demás.,Santiago Apóstol
